38,5,40,41,18,39,6,7,15,9
2,24,39,17,8,11,37,28,19,43
10,36,32,17,8,12,40,18,3,41
5,11,24,9,17,1,41,38,28,40
7,42,18,17,31,19,32,24,36,16
3,4,37,8,38,20,42,5,7,32
4,3,37,36,43,11,31,34,18,28
5,33,9,34,6,38,4,31,18,39
24,39,18,19,31,3,41,32,25,17
26,38,10,7,4,39,18,32,31,33
37,0,13,20,39,11,15,18,31,28
4,33,40,39,20,36,42,13,31,18
40,38,6,41,32,26,43,11,23,28
39,2,8,3,36,28,24,20,17,22
32,22,4,20,11,26,10,41,40,19
35,41,6,39,18,42,38,7,31,32
34,0,40,6,37,12,20,43,33,41
8,43,37,32,35,36,18,31,28,20
10,36,4,42,9,18,24,31,19,32
33,43,36,18,41,12,6,2,31,19
40,42,39,3,41,8,43,35,31,18
41,36,18,40,13,31,21,19,38,32
35,8,17,0,38,22,11,14,32,7
38,41,4,18,34,8,31,37,19,32
3,39,1,38,17,24,25,8,35,37
18,36,6,39,31,19,32,33,43,14
38,18,31,36,19,32,4,15,17,5
39,37,35,18,31,32,19,9,34,17
38,18,31,32,19,24,9,33,17,4
36,38,13,34,43,40,10,41,18,31
39,41,38,10,18,12,2,25,19,31
37,2,35,10,9,17,22,24,14,25
26,11,33,38,36,39,9,35,5,28
38,41,40,43,15,39,20,17,28,42
42,41,5,36,8,18,32,6,31,19
41,8,18,31,39,38,19,32,9,40
4,41,42,34,2,28,32,20,17,39
38,8,7,0,40,42,3,37,9,20
2,40,0,7,10,26,33,9,18,31
37,39,20,41,40,43,32,31,15,18
8,34,18,4,25,40,6,31,32,24
6,3,34,0,5,36,39,20,38,7
42,18,9,17,19,31,35,39,32,5
43,12,42,35,3,18,32,24,31,19
9,37,34,24,18,40,32,31,15,6
41,7,11,19,1,23,6,22,37,26
37,6,9,34,4,20,31,39,18,3
38,39,36,4,42,43,18,31,28,20
26,40,6,33,16,38,32,4,24,36
35,6,42,2,24,40,36,18,31,32
7,2,42,8,28,38,20,17,16,4
38,40,41,39,18,25,11,31,12,19
7,11,37,41,8,17,32,39,22,0
34,43,26,5,13,11,37,15,23,20
42,38,34,40,36,5,33,41,31,18
40,38,33,8,20,6,13,35,0,31
35,9,41,36,34,27,38,13,18,31
